year,EMSE,IWPC / ICPC,TSE,ICSE,Other
1979,0,0,0,0,1
1982,0,0,0,0,1
1983,0,0,0,0,1
1984,0,0,1,0,1
1985,0,0,0,0,1
1986,0,0,0,0,2
1987,0,0,0,0,1
1988,0,0,1,1,1
1989,0,0,0,0,1
1991,0,0,0,0,1
1994,0,0,0,0,1
1996,0,0,0,0,2
1997,0,0,0,0,1
1999,0,0,0,0,1
2001,0,1,0,0,0
2002,0,0,1,0,1
2003,0,0,1,0,0
2005,0,0,0,0,2
2006,0,0,0,0,3
2007,0,0,0,0,1
2009,0,0,1,0,1
2011,0,0,0,0,1
2012,0,2,0,0,2
2013,1,0,0,0,3
2014,1,0,0,2,3
2015,1,1,0,0,3
2016,0,0,1,0,4
2017,1,3,0,0,5
2018,0,1,1,0,8
2019,6,1,1,3,9
