venue,journal (41),conference (45),workshop (9)
avg # participants,77.52,58.20,33.11
median # participants,61,26,26
students only,46.34%,55.56%,77.78%
professionals included in,46.34%,31.11%,0
professionals only,14.63%,6.67%,0
students + professionaly only,29.27%,24.44%,0
